dut,nld,nl,"Dutch; Flemish","néerlandais; flamand",ltr
dyu,,,Dyula,dioula,ltr
dzo,,dz,Dzongkha,dzongkha,ltr
efi,,,Efik,efik,ltr
egy,,,"Egyptian (Ancient)",égyptien,ltr
eka,,,Ekajuk,ekajuk,ltr
elx,,,Elamite,élamite,ltr
eng,,en,English,anglais,ltr
enm,,,"English, Middle (1100-1500)","anglais moyen (1100-1500)",ltr
epo,,eo,Esperanto,espéranto,ltr
est,,et,Estonian,estonien,ltr
ewe,,ee,Ewe,éwé,ltr
ewo,,,Ewondo,éwondo,ltr
fan,,,Fang,fang,ltr
fao,,fo,Faroese,féroïen,ltr
fat,,,Fanti,fanti,ltr
fij,,fj,Fijian,fidjien,ltr
fil,,,"Filipino; Pilipino","filipino; pilipino",ltr
fin,,fi,Finnish,finnois,ltr
fiu,,,"Finno-Ugrian languages","finno-ougriennes, langues",ltr
fon,,,Fon,fon,ltr
fre,fra,fr,French,français,ltr
frm,,,"French, Middle (ca.1400-1600)","français moyen (1400-1600)",ltr
fro,,,"French, Old (842-ca.1400)","français ancien (842-ca.1400)",ltr
frr,,,"Northern Frisian","frison septentrional",ltr
frs,,,"Eastern Frisian","frison oriental",ltr
fry,,fy,"Western Frisian","frison occidental",ltr
ful,,ff,Fulah,peul,ltr
fur,,,Friulian,frioulan,ltr
gaa,,,Ga,ga,ltr
gay,,,Gayo,gayo,ltr
gba,,,Gbaya,gbaya,ltr
gem,,,"Germanic languages","germaniques, langues",ltr
geo,kat,ka,Georgian,géorgien,ltr
ger,deu,de,German,allemand,ltr
gez,,,Geez,guèze,ltr
gil,,,Gilbertese,kiribati,ltr
gla,,gd,"Gaelic; Scottish Gaelic","gaélique; gaélique écossais",ltr
gle,,ga,Irish,irlandais,ltr
glg,,gl,Galician,galicien,ltr
glv,,gv,Manx,"manx; mannois",ltr
gmh,,,"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)",ltr
goh,,,"German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)",ltr
gon,,,Gondi,gond,ltr
gor,,,Gorontalo,gorontalo,ltr
got,,,Gothic,gothique,ltr
grb,,,Grebo,grebo,ltr
grc,,,"Greek, Ancient (to 1453)","grec ancien (jusqu'à 1453)",ltr
gre,ell,el,"Greek, Modern (1453-)","grec moderne (après 1453)",ltr
grn,,gn,Guarani,guarani,ltr
gsw,,,"Swiss German; Alemannic; Alsatian","suisse alémanique; alémanique; alsacien",ltr
guj,,gu,Gujarati,goudjrati,ltr
gwi,,,Gwich'in,gwich'in,ltr
hai,,,Haida,haida,ltr
hat,,ht,"Haitian; Haitian Creole","haïtien; créole haïtien",ltr
hau,,ha,Hausa,haoussa,ltr
haw,,,Hawaiian,hawaïen,ltr
heb,,he,Hebrew,hébreu,rtl
her,,hz,Herero,herero,ltr
hil,,,Hiligaynon,hiligaynon,ltr
